,Subject,pidn,age,Category,Condition,Run,Word,RT,Assoc Hit,Exemplar Specific Hit,WE.WC_ANG,WC.BC_ANG,WE_ANG,WC_ANG,BC_ANG,WE.WC_VTC,WC.BC_VTC,WE_VTC,WC_VTC,BC_VTC,Face_Uni_ANG,Place_Uni_ANG,Sel_Uni_ANG,Face_Uni_VTC,Place_Uni_VTC,Sel_Uni_VTC,ANG,VTC,HC,CADG_ant,CA3DG,CA1,Sub,CADG_post
1662,am125,783,68,face,IF,1,BASKET,2476.405,0,0,-0.145073588,0.014133441,-0.136644186,0.008429402,-0.005704039,-0.126160112,0.033326853,-0.098601933,0.027558179,-0.005768674,12.49008428,13.80818159,13.14913293,-24.58373394,-9.724833894,-17.15428392,-0.237792488,1.899920198,15.60273491,27.95278936,16.96738884,6.102424774,-2.917411112,4.118884332
1663,am125,783,68,place,SMP,2,WHIP,2495.2701,0,0,-3.66E-05,-0.013301789,-0.003513004,-0.003476453,0.009825335,0.008609344,-0.006013692,0.0232297,0.014620356,0.020634048,-7.688612468,9.610254253,0.960820893,1.005561703,22.66445268,11.83500719,1.325121446,8.605470799,1.28903496,0.982418689,-10.87577588,1.828499506,8.939290998,9.421530787
1664,am125,783,68,face,IF,2,KNIFE,3003.9747,0,0,-0.084970047,0.008725662,-0.080024504,0.004945542,-0.00378012,0.038743975,0.010491886,0.070335227,0.031591252,0.021099367,-6.03766738,-26.23054431,-16.13410585,24.97117921,-11.91263536,6.529271925,-7.442274668,-2.331901626,-9.44824219,-3.318359846,-22.11204068,0.569640641,-8.799698347,-23.75882432
1665,am125,783,68,place,SMP,2,PYTHON,3368.3731,0,0,0.18149625,-0.006133476,0.177673554,-0.003822697,0.00231078,0.176209781,-0.003160407,0.192158949,0.015949168,0.019109575,28.05576241,15.92849675,21.99212958,9.836988228,24.55831048,17.19764935,8.971101477,3.559368951,-13.71107303,-24.01784651,-16.13375582,8.204739586,3.381772817,-18.30335696
1666,am125,783,68,place,MP,2,MOUSE,2228.6946,0,0,-0.04102616,-0.010427861,-0.017017293,0.024008868,0.034436729,0.015367407,-0.024837092,0.030499793,0.015132386,0.039969478,-5.349541118,-5.434481286,-5.392011202,-22.44058527,18.16815982,-2.136212724,-14.36277891,-1.857571493,-19.97634521,-37.65540621,1.854392923,-2.106023849,-26.11326883,8.019400823
1667,am125,783,68,place,SMP,2,PENCIL,2946.1435,0,0,0.01836208,-0.025238635,0.035094249,0.016732169,0.041970804,-0.058987908,-0.025427259,-0.036257412,0.022730495,0.048157755,15.97980115,22.90415792,19.44197953,3.341890853,12.73033109,8.036110969,16.51709825,6.845313578,8.205709799,1.007568067,10.13966665,-11.86828571,12.12129898,46.84244956
1668,am125,783,68,face,IF,2,CHICKEN,2052.1187,0,0,-0.063860266,-0.010075232,-0.04632761,0.017532656,0.027607889,0.058084374,0.007866211,0.065303732,0.007219357,-0.000646854,23.02604015,0.265509322,11.64577473,13.20740749,22.047543,17.62747525,-7.79269573,8.33038333,10.40406739,12.4186373,14.15691311,5.333012543,2.88721172,13.67199373
1669,am125,783,68,place,MP,2,JACKET,2275.488,0,0,-0.005329463,0.014988733,0.019191433,0.024520896,0.009532162,-0.039361923,-0.014792164,-0.035618535,0.003743388,0.018535552,-1.516122932,-17.4998994,-9.508011164,20.68509934,-14.63261265,3.026243344,-14.78397438,-7.115169253,-13.1822087,-27.73402847,0.215001001,-32.67412366,-3.892689131,26.19863689
1670,am125,783,68,place,IP,3,STRING,2012.317,0,0,-0.032359201,-0.009904732,-0.03518681,-0.002827609,0.007077123,-0.010018412,-0.000301232,-0.005322358,0.004696054,0.004997285,-5.851233142,-2.479190046,-4.165211594,-9.928959854,-18.27670908,-14.10283446,-3.166286972,-7.55286488,1.714927155,3.196488899,6.541227394,12.63598913,-5.509160047,-10.64985819
1671,am125,783,68,face,MF,3,LOCKER,1912.6401,0,0,-0.068036816,-0.04624579,-0.085553535,-0.017516719,0.02872907,-0.035746355,-0.028826975,-0.042112442,-0.006366087,0.022460888,-11.94231672,2.014784522,-4.963766098,4.771825382,2.48908145,3.630453416,-12.33541293,0.326659011,-4.725411007,-3.290413187,-1.623205139,-16.58141873,-9.437807421,3.767300418
1672,am125,783,68,place,SMP,3,ROSE,2137.7099,0,0,-0.083141948,0.021547183,-0.051830939,0.031311009,0.009763826,-0.051814294,0.012065076,-0.024754808,0.027059487,0.01499441,21.83777076,6.683740453,14.26075561,29.4169187,6.168265972,17.79259234,8.831548278,7.123156558,-0.470813919,-11.37714206,-0.808737982,2.494611136,5.461755337,31.24809883
1673,am125,783,68,place,SMP,3,KITTEN,2617.3113,0,0,-0.096293945,-0.021493606,-0.103530783,-0.007236838,0.014256767,-0.220386107,-0.018614852,-0.22878994,-0.008403833,0.010211019,-21.65473634,-35.25569983,-28.45521809,-3.887819759,-42.5715191,-23.22966943,-20.85856949,-7.289180196,4.582950315,13.49055742,-13.93603581,8.372972706,12.05506496,-16.73246193
1674,am125,783,68,place,IP,3,BELL,2365.2425,0,0,-0.06756198,-0.020647113,-0.058615826,0.008946154,0.029593267,-0.020930986,-0.027744265,-0.012774976,0.00815601,0.035900275,-23.76636255,-6.649784245,-15.2080734,4.965585721,12.11030668,8.537946202,-15.2706054,2.749585464,-2.885423988,3.431814397,1.011873177,-13.92192399,-12.11598404,-8.575861795
1675,am125,783,68,place,IP,3,BOOT,3264.3773,0,0,0.042491742,-0.01133596,0.057247605,0.014755863,0.026091822,-0.087783702,-0.01177745,-0.081357698,0.006426004,0.018203454,20.55815198,-1.203511318,9.677320329,-1.381213962,-8.346054998,-4.86363448,6.711260901,3.479596283,-4.959692925,-10.71452128,-14.19730846,10.51756729,6.329861774,-0.373526678
1676,am125,783,68,place,SMP,3,PIE,1789.4829,0,0,0.045925529,0.017202829,0.07054327,0.024617741,0.007414912,0.002197952,-0.002764271,0.021174302,0.01897635,0.021740621,10.13817947,12.05874629,11.09846288,4.170033035,-18.1844237,-7.007195332,9.554850666,0.476478848,4.98393618,5.69704685,13.12825805,-2.715496564,9.3428217,-11.58838342
1677,am125,783,68,face,IF,3,RAILROAD,2938.4775,0,0,0.080478658,0.004505569,0.080709176,0.000230518,-0.004275051,0.21061352,0.028736365,0.241241257,0.030627737,0.001891372,20.15679886,18.42994879,19.29337382,4.35554519,31.7089446,18.03224489,5.731518724,1.036591511,8.246813722,14.17444013,4.079092599,-2.393359704,19.09533324,-16.94257619
1678,am125,783,68,place,IP,3,CAGE,2527.0744,0,0,0.125331115,-0.015849824,0.136422721,0.011091606,0.026941429,0.11975302,-0.041899106,0.123013952,0.003260932,0.045160039,9.935651702,25.75625569,17.8459537,42.46204195,41.13110526,41.7965736,8.600997668,18.4050023,8.881917885,1.795473832,22.79954086,-1.128641171,14.51741107,14.22483507
1679,am125,783,68,place,IP,3,STOOL,3363.6363,0,0,0.051189413,0.009393766,0.05625592,0.005066507,-0.004327259,-0.068549474,0.01493177,-0.044655611,0.023893863,0.008962093,-2.581611967,-2.080053073,-2.33083252,-0.721724479,18.29212905,8.785202286,-12.29856613,5.779069463,2.443460018,4.350157087,-0.887944371,-2.470297638,-1.14520282,11.21237406
1680,am125,783,68,face,SMF,4,FENCE,2875.8117,0,0,-0.033801184,-0.017238996,-0.052047603,-0.018246419,-0.001007423,-0.031214584,-0.011263111,-0.040791172,-0.009576588,0.001686523,16.77607245,43.61637541,30.19622393,44.81629751,67.47454579,56.14542165,26.60463593,18.71775272,1.767240325,-16.12586181,19.4116897,8.526678455,18.71381508,9.04258791
1681,am125,783,68,place,MP,4,NEST,3407.4676,0,0,0.07895825,0.00857814,0.068130374,-0.010827876,-0.019406016,0.007800034,0.01200924,0.024343474,0.01654344,0.0045342,-2.216563454,7.412982569,2.598209558,5.855413567,7.360553636,6.607983602,-4.312022918,4.966874857,15.86207088,22.48890546,18.65722266,3.424799455,-1.396296282,25.82745379
1682,am125,783,68,place,IP,4,PARADE,3295.9671,0,0,-0.14286081,-0.011159126,-0.117825147,0.025035663,0.036194789,0.064114342,-0.02834644,0.06830011,0.004185768,0.032532208,32.83177026,10.76304643,21.79740835,-4.819699318,17.32109396,6.25069732,25.53651738,6.826063369,-4.62661855,-10.07423297,-2.18558197,-6.520934816,8.726514064,-7.634819581
1683,am125,783,68,face,SMF,4,TRACTOR,2042.7565,0,0,0.08189642,-0.003374249,0.059322988,-0.022573432,-0.019199183,0.039885185,0.034466624,0.068096129,0.028210943,-0.006255681,9.339570584,6.547405035,7.94348781,-11.47410698,20.4526447,4.48926886,11.05100274,1.062882189,-2.744604843,-13.46266223,8.706376493,7.621815268,10.02174083,-10.44989333
1684,am125,783,68,place,IP,4,TIRE,1837.3898,0,0,-0.071292523,0.015265925,-0.033928028,0.037364495,0.022098569,-0.072963825,-0.003577857,-0.03797132,0.034992506,0.038570363,-14.15573173,-10.13360328,-12.14466751,7.239243994,17.51155693,12.37540046,-1.268122031,5.241062316,0.956180823,-5.701142596,6.553344243,0.35301566,1.672916353,17.8460563
1685,am125,783,68,face,IF,4,GUITAR,2657.7823,0,1,0.15139557,-0.03629937,0.150018502,-0.001377068,0.034922302,-0.028877948,-0.025439139,-0.035121448,-0.0062435,0.019195639,8.708752532,19.00575922,13.85725588,11.60185717,45.58163257,28.59174487,2.365693095,11.44830128,3.910271936,-1.216615771,8.939840557,-2.910723878,21.42665127,-7.08509222
1686,am125,783,68,place,SMP,4,BUTTER,2523.929,0,0,0.025444237,0.019112888,0.053081745,0.027637507,0.008524619,-0.093509913,0.005962556,-0.066060238,0.027449675,0.021487119,-27.84287209,-2.295464013,-15.06916805,-18.18526801,12.27598633,-2.954640842,-22.75794515,-0.130990468,2.884223338,10.25464139,-2.00289933,-2.220865383,-1.185422251,-6.838384426
1687,am125,783,68,place,SMP,4,DOLLAR,1487.4799,0,0,0.081223121,0.025322784,0.111721657,0.030498536,0.005175752,-0.078397063,0.014337075,-0.064228014,0.014169049,-0.000168025,3.023154211,-21.23519909,-9.106022441,1.341217384,9.565717223,5.453467304,-6.459686694,0.669364553,-8.813094726,-1.247914439,-33.80098101,4.234076583,-1.292694361,-22.85635689
1688,am125,783,68,place,SMP,4,TAXI,3713.996,0,0,-0.013033062,-0.003224919,2.85E-05,0.013061577,0.016286496,-0.091543115,0.00118069,-0.073267957,0.018275158,0.017094468,-35.32596345,3.583795638,-15.8710839,-9.755013497,-0.414008952,-5.084511224,-20.22592419,0.529071522,-11.07305361,-9.083052919,-14.44413483,-24.76048318,-18.86595513,13.09447894
1689,am125,783,68,place,IP,4,MAGNET,2942.1299,0,0,-0.046919403,-0.000978288,-0.015045537,0.031873866,0.032852154,-0.103017505,-0.002506833,-0.097691739,0.005325766,0.007832599,-5.016971591,-26.24116247,-15.62906703,-12.70422765,-19.91542248,-16.30982507,-20.80737241,-6.46519565,-0.349126093,-6.179886002,17.18951872,2.493388953,-2.529793184,-5.289194018
1690,am125,783,68,face,SMF,5,LADDER,3299.6227,0,0,0.007185365,-0.016409968,0.029707101,0.022521736,0.038931704,-0.043802874,0.018805779,-0.009183435,0.034619439,0.01581366,-12.3679768,6.103289822,-3.13234349,-2.926211848,42.01528803,19.54453809,-10.64173731,5.417613795,-16.08634764,-15.74689916,-26.180728,-32.33094774,-1.407434149,-9.794564141
1691,am125,783,68,face,MF,5,DIAMOND,2789.0939,0,0,-0.02804965,-0.002345014,-0.033292597,-0.005242947,-0.002897933,-0.023780126,-0.019037233,-0.029097207,-0.00531708,0.013720153,-33.93276704,-29.05927439,-31.49602072,-14.38196688,-28.89351176,-21.63773932,-22.7778791,-3.877664196,2.240300721,10.31770815,-14.50462924,-9.726733194,11.01577033,-5.666845834
1692,am125,783,68,place,IP,5,FLASK,3215.4033,0,0,-0.060855267,-0.010873159,-0.051917143,0.008938124,0.019811283,0.04006019,0.000525882,0.05211789,0.0120577,0.011531818,18.93621206,13.64266847,16.28944026,3.5434168,15.57419205,9.558804423,-12.60606014,3.383771818,-3.436904887,-11.17173133,-4.933575065,-3.676020197,1.815831885,21.65745405
1693,am125,783,68,place,SMP,5,MILK,1479.3942,0,0,0.069238272,0.007161695,0.090897749,0.021659477,0.014497782,0.004914223,-0.003115584,-3.18E-05,-0.004945993,-0.001830409,3.27650129,-14.88879865,-5.806148681,-1.056179038,-6.710447023,-3.88331303,4.627565729,-0.362518953,11.87031112,27.81313254,-7.461866387,9.586783992,19.98187597,-31.76312876
